OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,Fireplaces,GarageArea,SalePrice,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Utilities_NoSeWa
7.0,2003.0,2003.0,856.0,1710.0,2.0,0.0,548.0,208500.0,False,False,True,False,False
6.0,1976.0,1976.0,1262.0,1262.0,2.0,1.0,460.0,181500.0,False,False,True,False,False
7.0,2001.0,2002.0,920.0,1786.0,2.0,1.0,608.0,223500.0,False,False,True,False,False
7.0,1915.0,1970.0,756.0,1717.0,1.0,1.0,642.0,140000.0,False,False,True,False,False
8.0,2000.0,2000.0,1145.0,2198.0,2.0,1.0,836.0,250000.0,False,False,True,False,False
5.0,1993.0,1995.0,796.0,1362.0,1.0,0.0,480.0,143000.0,False,False,True,False,False
8.0,2004.0,2005.0,1686.0,1694.0,2.0,1.0,636.0,307000.0,False,False,True,False,False
7.0,1973.0,1973.0,1107.0,2090.0,2.0,2.0,484.0,200000.0,False,False,True,False,False
7.0,1931.0,1950.0,952.0,1774.0,2.0,2.0,468.0,129900.0,False,False,False,True,False
5.0,1939.0,1950.0,991.0,1077.0,1.0,2.0,205.0,118000.0,False,False,True,False,False
5.0,1965.0,1965.0,1040.0,1040.0,1.0,0.0,384.0,129500.0,False,False,True,False,False
9.0,2005.0,2006.0,1175.0,2324.0,3.0,2.0,736.0,345000.0,False,False,True,False,False
5.0,1962.0,1962.0,912.0,912.0,1.0,0.0,352.0,144000.0,False,False,True,False,False
7.0,2006.0,2007.0,1494.0,1494.0,2.0,1.0,840.0,279500.0,False,False,True,False,False
6.0,1960.0,1960.0,1253.0,1253.0,1.0,1.0,352.0,157000.0,False,False,True,False,False
7.0,1929.0,2001.0,832.0,854.0,1.0,0.0,576.0,132000.0,False,False,False,True,False
6.0,1970.0,1970.0,1004.0,1004.0,1.0,1.0,480.0,149000.0,False,False,True,False,False
4.0,1967.0,1967.0,0.0,1296.0,2.0,0.0,516.0,90000.0,False,False,True,False,False
5.0,2004.0,2004.0,1114.0,1114.0,1.0,0.0,576.0,159000.0,False,False,True,False,False
5.0,1958.0,1965.0,1029.0,1339.0,1.0,0.0,294.0,139000.0,False,False,True,False,False
8.0,2005.0,2006.0,1158.0,2376.0,3.0,1.0,853.0,325300.0,False,False,True,False,False
7.0,1930.0,1950.0,637.0,1108.0,1.0,1.0,280.0,139400.0,False,False,False,True,False
8.0,2002.0,2002.0,1777.0,1795.0,2.0,1.0,534.0,230000.0,False,False,True,False,False
5.0,1976.0,1976.0,1040.0,1060.0,1.0,1.0,572.0,129900.0,False,False,False,True,False
5.0,1968.0,2001.0,1060.0,1060.0,1.0,1.0,270.0,154000.0,False,False,True,False,False
8.0,2007.0,2007.0,1566.0,1600.0,2.0,1.0,890.0,256300.0,False,False,True,False,False
5.0,1951.0,2000.0,900.0,900.0,1.0,0.0,576.0,134800.0,False,False,True,False,False
8.0,2007.0,2008.0,1704.0,1704.0,2.0,1.0,772.0,306000.0,False,False,True,False,False
5.0,1957.0,1997.0,1484.0,1600.0,1.0,2.0,319.0,207500.0,False,False,True,False,False
4.0,1927.0,1950.0,520.0,520.0,1.0,0.0,240.0,68500.0,False,False,False,True,False
4.0,1920.0,1950.0,649.0,1317.0,1.0,0.0,250.0,40000.0,False,False,False,False,False
5.0,1966.0,2006.0,1228.0,1228.0,1.0,0.0,271.0,149350.0,False,False,True,False,False
8.0,2007.0,2007.0,1234.0,1234.0,2.0,0.0,484.0,179900.0,False,False,True,False,False
5.0,1959.0,1959.0,1398.0,1700.0,1.0,1.0,447.0,165500.0,False,False,True,False,False
9.0,2005.0,2005.0,1561.0,1561.0,2.0,1.0,556.0,277500.0,False,False,True,False,False
8.0,2004.0,2005.0,1117.0,2452.0,3.0,1.0,691.0,309000.0,False,False,True,False,False
5.0,1994.0,1995.0,1097.0,1097.0,1.0,0.0,672.0,145000.0,False,False,True,False,False
5.0,1954.0,1990.0,1297.0,1297.0,1.0,1.0,498.0,153000.0,False,False,True,False,False
5.0,1953.0,2007.0,1057.0,1057.0,1.0,0.0,246.0,109000.0,False,False,True,False,False
4.0,1955.0,1955.0,0.0,1152.0,2.0,0.0,0.0,82000.0,False,False,True,False,False
6.0,1965.0,1965.0,1088.0,1324.0,2.0,1.0,440.0,160000.0,False,False,True,False,False
5.0,1959.0,1959.0,1350.0,1328.0,1.0,2.0,308.0,170000.0,False,False,True,False,False
5.0,1983.0,1983.0,840.0,884.0,1.0,0.0,504.0,144000.0,False,False,True,False,False
5.0,1975.0,1980.0,938.0,938.0,1.0,0.0,308.0,130250.0,False,False,True,False,False
5.0,1959.0,1959.0,1150.0,1150.0,1.0,0.0,300.0,141000.0,False,False,True,False,False
9.0,2005.0,2005.0,1752.0,1752.0,2.0,1.0,576.0,319900.0,False,False,True,False,False
7.0,2003.0,2003.0,1434.0,2149.0,1.0,1.0,670.0,239686.0,False,False,True,False,False
8.0,2006.0,2006.0,1656.0,1656.0,2.0,0.0,826.0,249700.0,True,False,False,False,False
4.0,1920.0,2008.0,736.0,1452.0,2.0,0.0,0.0,113000.0,False,False,False,True,False
5.0,1966.0,1966.0,955.0,955.0,1.0,0.0,386.0,127000.0,False,False,True,False,False
6.0,1997.0,1997.0,794.0,1470.0,2.0,0.0,388.0,177000.0,False,False,True,False,False
6.0,1934.0,1950.0,816.0,1176.0,1.0,1.0,528.0,114500.0,False,False,False,True,False
5.0,1963.0,1963.0,816.0,816.0,1.0,0.0,516.0,110000.0,False,False,False,True,False
9.0,1981.0,1987.0,1842.0,1842.0,0.0,1.0,894.0,385000.0,False,False,True,False,False
5.0,1955.0,1955.0,384.0,1360.0,1.0,1.0,572.0,130000.0,False,False,True,False,False
6.0,1964.0,1964.0,1425.0,1425.0,2.0,1.0,576.0,180500.0,False,False,True,False,False
8.0,1999.0,2000.0,970.0,1739.0,2.0,0.0,480.0,172500.0,True,False,False,False,False
7.0,2004.0,2004.0,860.0,1720.0,2.0,0.0,565.0,196500.0,False,False,True,False,False
10.0,2006.0,2006.0,1410.0,2945.0,3.0,1.0,641.0,438780.0,False,False,True,False,False
5.0,1972.0,1972.0,780.0,780.0,1.0,0.0,352.0,124900.0,False,False,True,False,False
6.0,2004.0,2004.0,1158.0,1158.0,1.0,0.0,576.0,158000.0,False,False,True,False,False
5.0,1920.0,1996.0,530.0,1111.0,1.0,0.0,288.0,101000.0,False,False,False,True,False
8.0,2006.0,2006.0,1370.0,1370.0,2.0,1.0,484.0,202500.0,False,False,True,False,False
7.0,1921.0,1950.0,576.0,1710.0,2.0,0.0,480.0,140000.0,False,False,False,True,False
7.0,1997.0,1998.0,1057.0,2034.0,2.0,0.0,645.0,219500.0,False,False,True,False,False
8.0,2004.0,2005.0,1143.0,2473.0,2.0,1.0,852.0,317000.0,False,False,True,False,False
7.0,1970.0,1989.0,1947.0,2207.0,2.0,1.0,576.0,180000.0,False,False,True,False,False
7.0,2003.0,2003.0,1453.0,1479.0,2.0,0.0,558.0,226000.0,False,False,True,False,False
4.0,1945.0,1950.0,747.0,747.0,1.0,0.0,220.0,80000.0,False,False,False,True,False
7.0,1953.0,1953.0,1304.0,2287.0,2.0,1.0,667.0,225000.0,False,False,True,False,False
7.0,1973.0,1973.0,2223.0,2223.0,2.0,2.0,516.0,244000.0,False,False,True,False,False
4.0,1982.0,2006.0,845.0,845.0,1.0,0.0,360.0,129500.0,False,False,True,False,False
7.0,1998.0,1998.0,832.0,1718.0,2.0,1.0,427.0,185000.0,False,False,True,False,False
5.0,1954.0,2003.0,1086.0,1086.0,1.0,0.0,490.0,144900.0,False,False,True,False,False
3.0,1915.0,1950.0,840.0,1605.0,2.0,0.0,379.0,107400.0,False,False,False,True,False
4.0,1973.0,1973.0,462.0,988.0,1.0,0.0,297.0,91000.0,False,False,False,True,False
4.0,1956.0,1956.0,952.0,952.0,1.0,0.0,283.0,135750.0,False,False,True,False,False
5.0,1948.0,2001.0,672.0,1285.0,1.0,0.0,240.0,127000.0,False,False,False,True,False
4.0,1968.0,1968.0,1768.0,1768.0,2.0,0.0,0.0,136500.0,False,False,True,False,False
5.0,1910.0,1981.0,440.0,1230.0,1.0,0.0,440.0,110000.0,False,False,False,True,False
6.0,1968.0,1968.0,896.0,2142.0,2.0,1.0,509.0,193500.0,False,False,True,False,False
6.0,1998.0,1998.0,1237.0,1337.0,2.0,0.0,405.0,153500.0,False,False,False,True,False
8.0,2007.0,2007.0,1563.0,1563.0,2.0,1.0,758.0,245000.0,False,False,True,False,False
5.0,1960.0,1960.0,1065.0,1065.0,1.0,0.0,461.0,126500.0,False,False,True,False,False
