OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,Fireplaces,GarageArea,SalePrice,HouseStyle,Condition1,Neighborhood,MSZoning,SaleCondition
7,2003,2003,856,1710,2,0,548,208500,2Story,Norm,CollgCr,RL,Normal
6,1976,1976,1262,1262,2,1,460,181500,1Story,Feedr,Veenker,RL,Normal
7,2001,2002,920,1786,2,1,608,223500,2Story,Norm,CollgCr,RL,Normal
7,1915,1970,756,1717,1,1,642,140000,2Story,Norm,Crawfor,RL,Abnorml
8,2000,2000,1145,2198,2,1,836,250000,2Story,Norm,NoRidge,RL,Normal
5,1993,1995,796,1362,1,0,480,143000,1.5Fin,Norm,Mitchel,RL,Normal
8,2004,2005,1686,1694,2,1,636,307000,1Story,Norm,Somerst,RL,Normal
7,1973,1973,1107,2090,2,2,484,200000,2Story,PosN,NWAmes,RL,Normal
7,1931,1950,952,1774,2,2,468,129900,1.5Fin,Artery,OldTown,RM,Abnorml
5,1939,1950,991,1077,1,2,205,118000,1.5Unf,Artery,BrkSide,RL,Normal
5,1965,1965,1040,1040,1,0,384,129500,1Story,Norm,Sawyer,RL,Normal
9,2005,2006,1175,2324,3,2,736,345000,2Story,Norm,NridgHt,RL,Partial
5,1962,1962,912,912,1,0,352,144000,1Story,Norm,Sawyer,RL,Normal
7,2006,2007,1494,1494,2,1,840,279500,1Story,Norm,CollgCr,RL,Partial
6,1960,1960,1253,1253,1,1,352,157000,1Story,Norm,NAmes,RL,Normal
7,1929,2001,832,854,1,0,576,132000,1.5Unf,Norm,BrkSide,RM,Normal
6,1970,1970,1004,1004,1,1,480,149000,1Story,Norm,NAmes,RL,Normal
4,1967,1967,0,1296,2,0,516,90000,1Story,Norm,Sawyer,RL,Normal
5,2004,2004,1114,1114,1,0,576,159000,1Story,RRAe,SawyerW,RL,Normal
5,1958,1965,1029,1339,1,0,294,139000,1Story,Norm,NAmes,RL,Abnorml
8,2005,2006,1158,2376,3,1,853,325300,2Story,Norm,NridgHt,RL,Partial
7,1930,1950,637,1108,1,1,280,139400,1.5Unf,Norm,IDOTRR,RM,Normal
8,2002,2002,1777,1795,2,1,534,230000,1Story,Norm,CollgCr,RL,Normal
5,1976,1976,1040,1060,1,1,572,129900,1Story,Norm,MeadowV,RM,Normal
5,1968,2001,1060,1060,1,1,270,154000,1Story,Norm,Sawyer,RL,Normal
8,2007,2007,1566,1600,2,1,890,256300,1Story,Norm,NridgHt,RL,Normal
5,1951,2000,900,900,1,0,576,134800,1Story,Norm,NAmes,RL,Normal
8,2007,2008,1704,1704,2,1,772,306000,1Story,Norm,NridgHt,RL,Normal
5,1957,1997,1484,1600,1,2,319,207500,1Story,Norm,NAmes,RL,Normal
4,1927,1950,520,520,1,0,240,68500,1Story,Feedr,BrkSide,RM,Normal
4,1920,1950,649,1317,1,0,250,40000,2Story,Feedr,IDOTRR,C (all),Normal
5,1966,2006,1228,1228,1,0,271,149350,1Story,Norm,Sawyer,RL,Normal
8,2007,2007,1234,1234,2,0,484,179900,1Story,Norm,CollgCr,RL,Normal
5,1959,1959,1398,1700,1,1,447,165500,1Story,Norm,NAmes,RL,Normal
9,2005,2005,1561,1561,2,1,556,277500,1Story,Norm,NridgHt,RL,Normal
8,2004,2005,1117,2452,3,1,691,309000,2Story,Norm,NridgHt,RL,Normal
5,1994,1995,1097,1097,1,0,672,145000,1Story,Norm,CollgCr,RL,Normal
5,1954,1990,1297,1297,1,1,498,153000,1Story,Norm,NAmes,RL,Normal
5,1953,2007,1057,1057,1,0,246,109000,1Story,Norm,NAmes,RL,Abnorml
4,1955,1955,0,1152,2,0,0,82000,1Story,Norm,Edwards,RL,AdjLand
6,1965,1965,1088,1324,2,1,440,160000,1Story,Norm,NAmes,RL,Abnorml
5,1959,1959,1350,1328,1,2,308,170000,1Story,Norm,Timber,RL,Normal
5,1983,1983,840,884,1,0,504,144000,SFoyer,Norm,SawyerW,RL,Normal
5,1975,1980,938,938,1,0,308,130250,1Story,Norm,CollgCr,RL,Normal
5,1959,1959,1150,1150,1,0,300,141000,1Story,Norm,NAmes,RL,Normal
9,2005,2005,1752,1752,2,1,576,319900,1Story,Norm,NridgHt,RL,Normal
7,2003,2003,1434,2149,1,1,670,239686,1.5Fin,Norm,Mitchel,RL,Abnorml
8,2006,2006,1656,1656,2,0,826,249700,1Story,Norm,Somerst,FV,Normal
4,1920,2008,736,1452,2,0,0,113000,2Story,Norm,OldTown,RM,Partial
5,1966,1966,955,955,1,0,386,127000,1Story,Norm,Sawyer,RL,Normal
6,1997,1997,794,1470,2,0,388,177000,2Story,Norm,Gilbert,RL,Normal
6,1934,1950,816,1176,1,1,528,114500,1.5Fin,Norm,BrkSide,RM,Normal
5,1963,1963,816,816,1,0,516,110000,1Story,RRNn,IDOTRR,RM,Normal
9,1981,1987,1842,1842,0,1,894,385000,1Story,Norm,Veenker,RL,Normal
5,1955,1955,384,1360,1,1,572,130000,SLvl,Norm,NAmes,RL,Normal
6,1964,1964,1425,1425,2,1,576,180500,1Story,Norm,NAmes,RL,Normal
8,1999,2000,970,1739,2,0,480,172500,2Story,Norm,Somerst,FV,Abnorml
7,2004,2004,860,1720,2,0,565,196500,2Story,Norm,CollgCr,RL,Normal
10,2006,2006,1410,2945,3,1,641,438780,2Story,Norm,StoneBr,RL,Partial
5,1972,1972,780,780,1,0,352,124900,1Story,Norm,CollgCr,RL,Normal
6,2004,2004,1158,1158,1,0,576,158000,1Story,RRAe,SawyerW,RL,Partial
5,1920,1996,530,1111,1,0,288,101000,2.5Unf,Norm,IDOTRR,RM,Normal
8,2006,2006,1370,1370,2,1,484,202500,1Story,Norm,NridgHt,RL,Normal
7,1921,1950,576,1710,2,0,480,140000,2Story,RRAn,OldTown,RM,Normal
7,1997,1998,1057,2034,2,0,645,219500,2Story,Norm,CollgCr,RL,Normal
8,2004,2005,1143,2473,2,1,852,317000,2Story,Norm,NridgHt,RL,Normal
7,1970,1989,1947,2207,2,1,576,180000,1Story,PosA,NAmes,RL,Normal
7,2003,2003,1453,1479,2,0,558,226000,1Story,Norm,CollgCr,RL,Normal
4,1945,1950,747,747,1,0,220,80000,1Story,Artery,OldTown,RM,Normal
7,1953,1953,1304,2287,2,1,667,225000,1.5Fin,Norm,ClearCr,RL,Normal
7,1973,1973,2223,2223,2,2,516,244000,1Story,Norm,NAmes,RL,Normal
4,1982,2006,845,845,1,0,360,129500,1Story,Norm,Mitchel,RL,Normal
7,1998,1998,832,1718,2,1,427,185000,2Story,Norm,Gilbert,RL,Normal
5,1954,2003,1086,1086,1,0,490,144900,1Story,Norm,NAmes,RL,Normal
3,1915,1950,840,1605,2,0,379,107400,2Story,Norm,OldTown,RM,Normal
4,1973,1973,462,988,1,0,297,91000,SLvl,Norm,MeadowV,RM,Normal
4,1956,1956,952,952,1,0,283,135750,1Story,Norm,NAmes,RL,Normal
5,1948,2001,672,1285,1,0,240,127000,1.5Fin,Norm,BrkSide,RM,Normal
4,1968,1968,1768,1768,2,0,0,136500,1Story,Norm,Sawyer,RL,Normal
5,1910,1981,440,1230,1,0,440,110000,2Story,Norm,OldTown,RM,Normal
6,1968,1968,896,2142,2,1,509,193500,2Story,Norm,NAmes,RL,Normal
6,1998,1998,1237,1337,2,0,405,153500,1Story,Norm,Mitchel,RM,Normal
8,2007,2007,1563,1563,2,1,758,245000,1Story,Norm,Somerst,RL,Normal
5,1960,1960,1065,1065,1,0,461,126500,1Story,Norm,NAmes,RL,Normal
7,1995,1996,384,1474,2,1,400,168500,SLvl,Norm,Gilbert,RL,Normal
8,1991,1992,1288,2417,2,1,462,260000,2Story,Norm,NoRidge,RL,Normal
6,2005,2005,684,1560,2,1,400,174000,2Story,Norm,Gilbert,RL,Normal
6,2009,2009,612,1224,2,0,528,164500,2Story,Norm,Somerst,FV,Partial
3,1915,1982,1013,1526,1,0,0,85000,1.5Fin,Feedr,IDOTRR,C (all),Abnorml
4,1994,1995,990,990,1,0,0,123600,1Story,Norm,CollgCr,RL,Normal
4,1950,1950,0,1040,1,0,420,109900,1Story,Norm,NAmes,RL,Normal
5,1961,1961,1235,1235,1,0,480,98600,1Story,Norm,NAmes,RL,Abnorml
5,1921,2006,876,964,1,0,432,163500,1Story,Norm,Crawfor,RL,Normal
6,1910,1998,1214,2291,2,1,506,133900,2.5Unf,Norm,OldTown,C (all),Normal
6,1997,1997,824,1786,2,0,684,204750,2Story,Norm,CollgCr,RL,Normal
6,1993,1993,680,1470,2,1,420,185000,2Story,Norm,Gilbert,RL,Normal
7,1999,1999,1588,1588,2,0,472,214000,1Story,Norm,CollgCr,RL,Normal
4,1965,1965,960,960,1,0,432,94750,1Story,Norm,Edwards,RL,Normal
5,1920,1950,458,835,1,0,366,83000,1Story,Norm,Edwards,RL,Abnorml
4,1959,1959,950,1225,1,0,0,128950,1Story,Norm,NAmes,RL,Normal
6,1977,2001,1610,1610,2,2,480,205000,1Story,Norm,NWAmes,RL,Normal
6,1985,1985,741,1732,2,1,476,178000,2Story,Norm,SawyerW,RL,Normal
5,1979,1979,0,1535,2,0,410,118964,1Story,Norm,SawyerW,RL,Alloca
7,2009,2009,1226,1226,2,0,740,198900,1Story,Norm,CollgCr,RL,Normal
7,1931,1950,1040,1818,1,2,240,169500,1.5Fin,Norm,IDOTRR,RM,Normal
8,2003,2004,1053,1992,2,1,648,250000,2Story,Norm,Somerst,FV,Normal
4,1885,1995,641,1047,1,0,273,100000,1Story,Norm,OldTown,RM,Normal
5,1948,1950,789,789,1,0,250,115000,1Story,Norm,OldTown,RM,Partial
5,1919,2005,793,1517,2,0,0,115000,1.5Fin,Artery,IDOTRR,RM,Normal
6,1977,1977,1844,1844,2,1,546,190000,1Story,Norm,NWAmes,RL,Normal
6,1954,1972,994,1855,2,0,325,136900,1.5Fin,Norm,Edwards,RL,Normal
7,2000,2000,384,1430,2,1,400,180000,SLvl,Norm,Gilbert,RL,Normal
7,2007,2007,1264,2696,2,1,792,383970,2Story,Norm,CollgCr,RL,Partial
6,1953,1953,1809,2259,2,2,450,217000,1Story,Norm,Crawfor,RL,Abnorml
6,1945,2002,1028,2320,2,1,180,259500,2Story,Norm,Crawfor,RL,Normal
6,1999,1999,729,1458,2,1,440,176000,2Story,Norm,Somerst,FV,Normal
5,1962,1962,1092,1092,1,1,288,139000,1Story,Norm,Sawyer,RL,Normal
5,2006,2007,1125,1125,1,0,430,155000,1Story,Norm,Edwards,RL,Partial
7,1990,1990,1673,3222,3,2,594,320000,2Story,Norm,SawyerW,RL,Normal
6,2005,2006,728,1456,2,1,390,163990,2Story,Norm,CollgCr,RL,Partial
6,1969,1969,938,988,1,2,540,180000,SLvl,Norm,ClearCr,RL,Normal
4,1939,1950,732,1123,1,0,264,100000,1.5Fin,Norm,IDOTRR,RM,Normal
6,1958,1958,1080,1080,1,0,288,136000,1Story,Norm,NAmes,RL,Normal
6,1993,1993,1199,1199,2,0,530,153900,1Story,Norm,SawyerW,RL,Normal
6,1979,1998,1362,1586,2,1,435,181000,1Story,Norm,NWAmes,RL,Normal
